"site_id","datetime","depth_m","variable","observation"
"bvre",2020-07-09,6,"Temp_C_mean",17.793260625
"bvre",2020-07-09,7,"Temp_C_mean",15.2558099305556
"bvre",2020-07-09,8,"Temp_C_mean",13.6641716666667
"bvre",2020-07-09,9,"Temp_C_mean",12.4318813194444
"bvre",2020-07-09,10,"Temp_C_mean",11.3537361111111
"bvre",2020-07-09,11,"Temp_C_mean",NA
"bvre",2020-07-09,12,"Temp_C_mean",NA
"bvre",2020-07-09,13,"Temp_C_mean",NA
"bvre",2020-07-09,6,"DO_mgL_mean",6.86692815277778
"bvre",2020-07-09,13,"DO_mgL_mean",0
"bvre",2020-07-09,1.5,"DO_mgL_mean",11.2739583333333
"bvre",2020-07-09,1.5,"Chla_ugL_mean",7.44666666666667
"bvre",2020-07-09,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-09,1.5,"fDOM_QSU_mean",15.2359027777778
"bvre",2020-07-10,1,"Temp_C_mean",NA
"bvre",2020-07-10,2,"Temp_C_mean",28.8491849305556
"bvre",2020-07-10,3,"Temp_C_mean",28.3648795833333
"bvre",2020-07-10,4,"Temp_C_mean",25.7665315277778
"bvre",2020-07-10,5,"Temp_C_mean",21.044025625
"bvre",2020-07-10,6,"Temp_C_mean",17.9661445833333
"bvre",2020-07-10,7,"Temp_C_mean",15.3236779166667
"bvre",2020-07-10,8,"Temp_C_mean",13.6551295138889
"bvre",2020-07-10,9,"Temp_C_mean",12.4034517361111
"bvre",2020-07-10,10,"Temp_C_mean",11.3476641666667
"bvre",2020-07-10,11,"Temp_C_mean",NA
"bvre",2020-07-10,12,"Temp_C_mean",NA
"bvre",2020-07-10,13,"Temp_C_mean",NA
"bvre",2020-07-10,6,"DO_mgL_mean",7.05170169444444
"bvre",2020-07-10,13,"DO_mgL_mean",0
"bvre",2020-07-10,1.5,"DO_mgL_mean",11.1390277777778
"bvre",2020-07-10,1.5,"Chla_ugL_mean",6.94673611111111
"bvre",2020-07-10,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-10,1.5,"fDOM_QSU_mean",15.1509027777778
"bvre",2020-07-11,1,"Temp_C_mean",NA
"bvre",2020-07-11,2,"Temp_C_mean",27.9436897222222
"bvre",2020-07-11,3,"Temp_C_mean",27.9994218055556
"bvre",2020-07-11,4,"Temp_C_mean",27.5556573611111
"bvre",2020-07-11,5,"Temp_C_mean",21.4592700694444
"bvre",2020-07-11,6,"Temp_C_mean",18.0682374305556
